8418_in,8450_in,8516_in,8421_in,8422_in,8528_in,8531_in,8508_in,8509_in,8414_in,8415_in,8418_out,8450_out,8516_out,8421_out,8422_out,8528_out,8531_out,8508_out,8509_out,8414_out,8415_out
34368070,14968130,7800192,5819979,8992949,13421986,2564277,662483,4445739,24537949,12373525,1551723,2188,0,1341943,12899,58033,6426,0,0,576,63342
17632395,22440168,7758622,7289513,7738775,13847675,4678658,4641464,3295232,20563058,4857120,729247,0,95573,426845,0,336349,0,5326,0,130184,72927
29104944,20644247,8858845,11204685,43078921,19968758,2410796,2242731,4655700,30185076,17631614,0,0,900,1489991,0,51086,0,0,0,133162,172086
19987204,19677459,5468497,9177918,4757297,14514948,1456667,1489857,5894778,24077065,13130749,26828,17940,909,516881,746,15915,22524,0,25049,72689,82928
22225277,13152558,4143919,9653007,5056138,17041233,1915177,692234,4401420,23958512,10736183,920413,0,0,666963,20966,8002,0,10514,83573,0,62693
28562933,17292423,3952423,11044551,5710646,10412859,1922459,313094,4179914,33415675,19296280,4017,221060,3100,1545910,0,5065133,0,0,137969,12544,9813
25630455,21755451,5313928,8408257,12350801,11386504,3036817,2102905,6888543,28581695,14984916,114240,125675,0,1534956,76682,6273,0,0,14620,19601,127694
16002561,3502917,3684370,6991786,6923726,9466918,2179508,1097356,7854881,25582321,7828165,395731,0,0,1244760,0,617,0,0,0,0,18865
14408312,16410489,5195790,7273482,5756976,6418608,1161219,2549617,5061639,26174094,4051364,669233,0,69902,414457,9545,166889,0,0,0,0,38940
33582824,23045709,10342097,17061988,7475327,18574094,4505847,1288586,5609175,42302314,7788111,2727327,20837,412915,437802,105066,1548,0,338009,53838,101401,1624558
27257040,32769614,8968408,7531546,7606254,24318376,773380,4707050,4760873,22941411,7009643,1229462,171222,0,1072553,117156,10346261,0,0,52685,1049951,50958
17067188,11304418,5695078,10931559,5972580,10616068,1030980,1973285,5451264,17890879,7245241,2116199,2871767,86130,776574,9255,8433786,0,2590,1807297,1375758,112196
28464233,18171349,10774276,19412583,26674313,12016131,2649726,4026224,6417666,27274844,18381660,1410430,694863,163330,706380,9824,1668898,0,1859,1381289,109343,24340
36061404,6598715,3993867,14719360,11169185,13576398,1881295,1657343,2525935,29363735,7439314,261632,0,510511,343499,139104,54114,0,62100,0,178841,99443
16173645,10197841,8506237,14341818,4489422,12710592,3268679,2183101,6319839,25329055,15919916,1266965,1170429,16767,1019542,0,1586088,0,0,349811,563649,41967
20954899,9441820,8992537,6583603,6680199,15043277,4943485,2288920,7977027,27575955,7192707,2541642,3163808,4676,641265,0,5253000,0,0,1328021,6581353,88569
16625374,11410154,8836260,13589592,14610698,12369752,1557163,2363718,6890983,48202041,19196512,212805,0,435,342535,0,2202,0,311,13360,14895,607670
11027764,14993863,9079146,11728485,32678470,18903142,6189443,4600993,107750174,35395113,19771075,778217,247464,2820,1246048,0,485744,11542,0,0,33966,934564
21428971,4239424,7216011,12746988,12835292,18564736,4594904,1599847,3647539,21488453,4612274,1243883,331614,153731,896727,36311,70799,0,1991032,1872,345975,806991
14629405,9263341,6144056,9612368,15950930,18611721,2234715,739027,4952208,38589829,3021673,1433866,1102053,5768,700940,36864,3921375,0,2012,1781183,5222323,162971
11930038,9097405,5918499,11521303,10639187,9899821,4654975,12964,3280525,38587475,2761763,491441,2172,0,3262366,0,0,32176,625,1874,29296,155203
23503950,6238640,12433839,18049924,19253948,11712099,2364160,256314,5237757,26487092,6737512,1356001,0,41756,1710424,0,549120,940413,0,0,102138,26563
17619455,5662909,7996990,14474557,9004438,7097354,2415927,33588,3730142,19230390,3913338,2579616,3600,379678,1065045,12357,0,0,0,0,3603,285017
11356112,6270752,9339583,8583784,43273116,10229988,3626869,152963,8685907,22574709,3275766,2400666,4459580,19041,914400,0,7046702,0,0,1742435,855392,1631
12127526,11000655,9934867,13618696,13721587,20204726,4030956,105444,3980520,43839189,7891657,112692,0,188140,1135254,29932,731306,48094,0,0,108046,145639
37220403,23686871,8146031,20161841,22706491,12733409,2918225,76589,4279709,51528146,6306446,3322490,7782839,133131,966685,0,11534214,0,0,3954074,10259107,3426951
16394868,12662863,9604753,12060733,17255743,18469135,6369602,0,6199362,44653883,10842113,3195964,1690321,388208,1676555,1500,9158196,1013484,0,1579727,5390806,297030
29630837,9159730,6258259,23768067,7327342,27732436,6702335,643582,4521929,33439221,17417167,601622,0,333594,1144205,0,3112,0,0,8880,1652595,5105
30691540,10157174,5438646,14013766,16566685,19609122,2842750,447349,4183818,39423102,16697965,3407415,299998,312765,994158,0,6512849,0,0,242772,4186444,623953
17288819,15200363,8744674,16733476,19704988,13028748,3123766,77619,7274490,26046435,7206859,461846,833203,163105,1710799,0,972815,0,0,550642,1200723,189542
32704072,7456273,8429627,17786744,12414542,20328538,7349734,87598,7325809,29610057,12658669,167954,346668,0,510477,0,1210,0,1153,12913,1045820,211716
18795543,15047993,7040232,13461881,17827340,8998027,2336864,1476546,5106613,47238172,3074208,914553,1065111,1021762,1295639,0,3092749,0,0,1115774,1415211,812638
26346390,11104436,9292740,13357781,22111779,8052697,8111784,128957,8643998,21574565,2943305,3219346,2780425,1731,578828,0,7220077,0,0,2855904,3058191,1482956
24523189,17600657,6054019,10597627,16799353,11468467,5023334,72986,4769385,42033620,9927142,1001999,1410741,36122,555554,0,1402093,0,0,37266,175913,357809
17793666,17918827,4951940,16397791,10767333,12822783,1847715,0,4667200,24296487,1422930,1906261,2188143,25706,554176,0,192840,0,0,1361904,7297927,970532
10633458,4769947,5516853,13788953,6777594,9992312,1973036,848,5881834,51166914,2334933,2043283,7570070,31457,1579382,0,4257133,0,4018,1786980,1710683,206045
15625563,8236973,2290219,19092228,21088743,9720854,2569794,0,3058982,41324195,12289681,2597951,11917,1055725,567398,0,0,0,432,431310,398953,3787
21329138,5238782,8049706,29749307,19009263,13103191,2115046,234475,5077278,34157242,5881997,20135,62534,846833,1227152,865,15792,0,0,0,125409,31947
21279807,13457554,5766491,22544911,18695344,16149178,3040027,189624,8003927,41213830,5708582,3424355,4984611,3391596,796070,268102,3157362,0,29080,2105738,10977570,545342
28631078,16815348,4193007,26407901,21110858,10601377,5135091,541001,5818701,45462884,9285037,37174,18780,1379274,0,0,0,0,865,0,378755,56717
28599212,11887326,7083656,21664093,7797412,16181916,6390009,13887,4261836,37723630,5425465,5358077,4483470,122229,1330839,287099,1668266,0,77671,890546,5965123,1770618
25171841,15870692,6046298,12126352,26530183,12182059,296960970,227973,4780521,32529696,5956574,202029,393295,404461,937188,506051,130803,0,93028,254828,439344,704985
22971885,20663126,5277247,9240024,9766991,14905928,1390893,0,4090205,18834301,16134819,952230,460,0,1029696,235007,2337583,0,11492,458373,433183,51787
22752472,8743235,5589111,12118372,16312719,21312597,13628422,0,3425902,25715283,4770413,1628406,2156793,386745,712881,15967,610406,0,5166,1084520,332082,3137718
26999754,12514639,6284218,25423383,14061712,12778204,1670766,86856,5359867,34679105,2566405,746655,2878109,37663,536985,1390768,1698340,15316,0,1805559,2317440,455319
20503411,9867746,8516355,27058729,28428349,19787950,3187080,234437,5505595,34002260,5440164,527021,695449,48443,899371,487390,0,0,16920,199044,56265,186309
24740047,12184542,4589854,14506286,21718854,4388675,4161904,57631,6711883,37429777,3384197,5660,2625967,43018,538050,0,2469346,0,0,598753,1282196,315559
21100076,12410687,6157239,16018214,33714431,15112426,2100612,924615,1863739,34218856,3753559,382838,1141,2282,852742,0,0,0,0,0,29206,2552862
24931262,8069862,6286315,29564156,19404977,15827346,2523611,3884371,4789648,51591283,9050113,6569,2943841,108918,1099075,0,4003750,0,0,0,1678,515461
35631137,17097130,5698172,26691039,41433328,24612228,4762644,2917187,2763144,43941508,4700085,222236,30847,154963,423626,130923,1816,0,0,24061,5408,584835
55667255,14477724,10215557,46946920,27467368,16919588,4339005,3271979,3052618,55068758,9756495,1429359,1164362,234891,1998101,0,748369,0,0,1285437,5359774,868759
22563249,12591260,5731090,18385047,36803831,17012605,9181550,1222544,2027785,45914124,6346671,199422,528931,0,1424709,775089,756360,0,0,10649,1232507,640411
24531235,13275034,9196620,21228015,28548855,20091636,2882502,3208037,1106608,34624772,9570160,209620,34025,1273,726293,0,39656,0,0,15509,695732,521712
32890115,14028896,7786594,34965568,33640034,21410042,4973174,1937118,4182263,60905474,4545322,300330,487896,0,967181,0,1384059,0,10200,390405,4433391,493887
25139796,16029097,11652922,15145146,35803754,17972963,2234716,1616942,3421987,47261090,3762710,30405,143214,0,1550609,365085,1803536,0,0,0,0,109359
26695664,17353711,9584064,22081357,18070660,28947052,3765680,2720156,4061454,29556717,5482386,2380957,0,1080749,307301,0,1299046,47532,0,47876,1500,23484
31019819,18913415,13914124,50708690,40405850,26989664,4727016,3614883,4251123,67119625,9980115,187942,88276,93487,717611,0,2676,0,0,27313,10000,908667
34718307,16915336,10993760,26860720,36944237,21812922,5777410,103259029,4219111,42128240,10355925,352231,2612746,710861,2249882,646367,3247930,935,0,1661338,1501129,400457
84072836,56407225,12423409,64412058,74018090,35383752,5155069,6422460,4284608,131433178,77912685,52900706,1241227,21153863,807434,947063,5327703,0,0,33226,4372245,10926051
82410518,35906703,16510358,292044467,36454766,60147934,4654631,6892503,4522715,189973972,55383609,59727549,221681,9509589,911154,1654,2929120,198006,0,1616713,9826188,12515286
97804861,84448648,17481649,57446802,47587835,60235210,4310041,5993195,4017556,199813294,55915921,105155267,568818,13984981,645746,55000,387250,0,0,0,9222986,10178941
97434408,74446261,16972658,97315724,109474280,43978496,10474544,5086454,5425950,166284359,65514403,111220329,736165,21235381,836460,124298,2319219,141674,0,1092,7769501,17702793
112649925,44545828,26571831,96792982,93992313,92763196,9148750,5072618,7857229,139569979,78137339,107001382,892395,17339799,1414066,206196,2373989,0,9492,592877,2885188,16649730
113316041,62974114,20058017,66586367,77344852,40185561,3415339,4888943,5462515,246564438,83822591,84155485,762522,16903563,1669015,3705040,1423722,0,48277,462113,3882791,18985823
97191762,52908159,14916936,61392759,50371117,48000591,3314410,6660774,6418477,133176098,69771289,91747943,3813908,26667970,1340593,376477,3266135,0,0,1387863,1140449,17250569
96742856,55263710,19880594,71108787,89285844,58689187,7393897,6574628,4641398,175757220,58958643,74540437,1876333,15364670,786506,120549,2678244,0,0,541888,2188000,17499492
123704988,21969486,20262426,53549647,38831302,61161357,3428947,4286839,3655044,84584096,48959406,43982784,1448649,14863064,1322747,0,1731696,0,0,462989,512847,13774407
173342135,40092642,17673700,73802726,42602145,59786883,3563743,6095449,4143799,121525214,58970387,42578728,1026957,16307509,2479935,73841,3038176,0,0,1597534,704295,8240463
105133246,34913893,23888537,108955707,84530267,63542360,5236432,5654086,6831530,94212405,41085788,39153625,4504494,21236993,1173685,167114,8946183,13860,249238,784031,4062147,5204384
123351078,18889008,14914941,124535417,37448758,31068092,3492997,2291632,4114784,115672383,51185616,25514474,1439893,13541258,2221606,2282048,3926707,0,0,1122166,830951,9149802
96711507,39389524,15317953,103262152,110355391,35109013,5459126,4956597,4842211,96543177,61653509,35934671,755521,17834241,1225254,2475829,6255527,0,0,1145981,2937727,7892043
74742529,21916314,11418642,70084972,96967831,33780010,5830596,5236488,3182533,131178014,32352471,40952271,917363,18276388,1740610,105635,5631547,0,11126,825708,6164602,6342566
77898344,21476897,19094129,93297299,77856379,51044704,3122114,3900066,5025614,150198163,32898308,66688076,1071820,12824285,1511865,95052,6578424,0,0,1681513,3498975,9466869
68460819,37538958,21645298,66912508,62990259,55947567,3594391,6437725,6090113,113496161,50010888,29700964,2361245,12101095,842010,38917,5659542,0,0,4138604,2942514,68634804
104277295,30508116,42218939,79470380,39041295,41909818,12341753,2289431,6906184,84535374,45371983,36197175,3949396,15814410,1617365,1748069,5174107,15378,0,2283236,11785065,72226554
149044847,38473802,19428344,39053338,42130865,52550554,4337796,5619018,6581323,108589892,41134316,50889252,6760201,43217243,4447323,0,7607587,0,0,1027298,12451742,77571706
180892008,153398373,18988124,83251207,54772106,55301587,5770765,3495986,6618144,110209995,47268277,42531933,10682373,39503264,1730537,240876,11182109,13844,214196,3839437,7466331,59226106
116612888,66175172,20339206,133078153,125316429,67528116,5410710,3771999,4390061,157257797,42431151,41898112,8080974,24936839,802637,1427718,14501882,0,0,1925628,4365419,55269933
62658156,34980185,17154199,46726835,76536928,52080573,2452925,3634783,6444656,149973693,20327389,21335191,3747580,27167508,920858,958236,12531948,0,0,598731,4294913,26341484
88751582,44148972,17538441,101595018,63604349,52265790,3352512,2891672,7479633,158107446,35641558,34865659,6454000,34089774,422733,31583,20396283,0,0,2489149,2649148,24526472
81848020,38038310,15291406,73178583,42922718,33899329,5562549,5567714,4296196,62579701,32311261,18838546,3975654,33372912,828995,54216,19137987,0,0,1447115,2130503,30112706
