year,month,product_code,y,income_outcome
1998,10,8531,3279054,1
1998,10,8415,2043819,0
1998,10,8418,95960,0
1998,10,8422,216478,0
1998,10,8516,20808,0
1998,10,8528,4000,0
1998,11,8414,33559712,1
1998,11,8415,5808978,1
1998,11,8418,24460315,1
1998,11,8421,9026613,1
1998,11,8422,11484976,1
1998,11,8450,8929572,1
1998,11,8508,2700178,1
1998,11,8509,4552001,1
1998,11,8516,4274599,1
1998,11,8528,15918675,1
1998,11,8531,1609921,1
1998,11,8414,86970,0
1998,11,8415,670819,0
1998,11,8418,10647,0
1998,11,8421,83426,0
1998,11,8422,368022,0
1998,11,8450,57207,0
1998,11,8509,1248,0
1998,11,8516,285791,0
1998,11,8528,447593,0
1998,12,8414,25480766,1
1998,12,8415,6152438,1
1998,12,8418,19783274,1
1998,12,8421,28770821,1
1998,12,8422,5402721,1
1998,12,8450,5273023,1
1998,12,8508,5290661,1
1998,12,8509,3262676,1
1998,12,8516,7878429,1
1998,12,8528,24103502,1
1998,12,8531,1439257,1
1998,12,8415,155299,0
1998,12,8418,28831,0
1998,12,8421,225417,0
1998,12,8422,120902,0
1998,12,8509,13600,0
1998,12,8516,57774,0
1999,1,8414,27768031,1
1999,1,8415,3468798,1
1999,1,8418,11989603,1
1999,1,8421,9035111,1
1999,1,8422,9634123,1
1999,1,8450,9746868,1
1999,1,8508,1442581,1
1999,1,8509,3142075,1
1999,1,8516,3154402,1
1999,1,8528,14971451,1
1999,1,8531,2164739,1
1999,1,8415,1525363,0
1999,1,8418,17800,0
1999,1,8421,3346,0
1999,1,8509,80866,0
1999,1,8528,5743,0
1999,2,8414,42244132,1
1999,2,8415,10248363,1
1999,2,8418,31574336,1
1999,2,8421,19352459,1
1999,2,8422,14988758,1
1999,2,8450,12078093,1
1999,2,8508,3162565,1
1999,2,8509,2845303,1
1999,2,8516,4510091,1
1999,2,8528,8229008,1
1999,2,8531,1699762,1
1999,2,8415,70680,0
1999,2,8418,4046,0
1999,2,8422,178504,0
1999,2,8450,16320,0
1999,2,8508,1360,0
1999,2,8509,510,0
1999,2,8516,13000,0
1999,2,8528,2890,0
1999,3,8414,37793377,1
1999,3,8415,2314640,1
1999,3,8418,16294547,1
1999,3,8421,10060706,1
1999,3,8422,13091860,1
1999,3,8450,4016301,1
1999,3,8508,3666338,1
1999,3,8509,3315277,1
1999,3,8516,3739027,1
1999,3,8528,10665734,1
1999,3,8531,1138558,1
1999,3,8414,28413,0
1999,3,8415,3001518,0
1999,3,8418,42444,0
1999,3,8450,73959,0
1999,3,8509,17001,0
1999,3,8516,3505,0
1999,4,8414,123212630,1
1999,4,8415,6269884,1
1999,4,8418,10162440,1
1999,4,8421,9049536,1
1999,4,8422,10996321,1
1999,4,8450,8554077,1
1999,4,8508,1341175,1
1999,4,8509,2632952,1
1999,4,8516,3831216,1
1999,4,8528,4185781,1
1999,4,8531,564670,1
1999,4,8414,27901,0
1999,4,8415,690778,0
1999,4,8418,4304,0
1999,4,8421,31879,0
1999,4,8422,375109,0
1999,4,8450,681,0
1999,4,8508,1703,0
1999,4,8516,20107,0
1999,4,8528,851,0
1999,5,8414,59345245,1
1999,5,8415,10779898,1
1999,5,8418,27450419,1
1999,5,8421,11637565,1
1999,5,8422,16184344,1
1999,5,8450,21195193,1
1999,5,8508,2115115,1
1999,5,8509,5504029,1
1999,5,8516,5243583,1
1999,5,8528,16966965,1
1999,5,8531,4194493,1
1999,5,8414,214469,0
1999,5,8415,1059265,0
1999,5,8418,1022,0
1999,5,8421,21297,0
1999,5,8422,106199,0
1999,5,8450,84206,0
1999,5,8508,6750,0
1999,5,8509,22209,0
1999,5,8516,21721,0
1999,5,8528,2440,0
1999,6,8414,44239973,1
1999,6,8415,6254206,1
1999,6,8418,21208665,1
1999,6,8421,10073225,1
1999,6,8422,7724848,1
1999,6,8450,7582047,1
1999,6,8508,2411364,1
1999,6,8509,2008275,1
1999,6,8516,4648298,1
1999,6,8528,6571453,1
1999,6,8531,1995044,1
1999,6,8414,6666,0
1999,6,8415,1364776,0
1999,6,8418,253925,0
1999,6,8421,88551,0
1999,6,8422,239824,0
1999,6,8450,109466,0
1999,6,8516,32796,0
1999,6,8528,602806,0
1999,7,8414,49467614,1
1999,7,8415,10875065,1
1999,7,8418,26575273,1
1999,7,8421,9394814,1
1999,7,8422,25448111,1
1999,7,8450,11717449,1
1999,7,8508,4429867,1
1999,7,8509,3103704,1
1999,7,8516,4260868,1
1999,7,8528,15489642,1
1999,7,8531,2722269,1
1999,7,8415,627319,0
1999,7,8418,1787867,0
1999,7,8421,137127,0
1999,7,8422,63742,0
1999,7,8450,60,0
1999,7,8509,801,0
1999,7,8528,3744,0
1999,8,8414,41836541,1
1999,8,8415,8160193,1
1999,8,8418,19607871,1
1999,8,8421,12986042,1
1999,8,8422,16595047,1
1999,8,8450,3405499,1
1999,8,8508,2204367,1
1999,8,8509,2147633,1
1999,8,8516,5000615,1
1999,8,8528,10766937,1
1999,8,8531,2691882,1
1999,8,8414,121488,0
1999,8,8415,1049253,0
1999,8,8418,15258,0
1999,8,8421,83357,0
1999,8,8450,409,0
1999,8,8508,2567,0
1999,8,8509,511,0
1999,8,8516,4159,0
1999,8,8528,852,0
1999,9,8414,30023296,1
1999,9,8415,6071647,1
1999,9,8418,23702202,1
1999,9,8421,9083090,1
1999,9,8422,11965200,1
1999,9,8450,8773100,1
1999,9,8508,4339454,1
1999,9,8509,3879369,1
1999,9,8516,7719074,1
1999,9,8528,15460071,1
1999,9,8531,1334109,1
1999,9,8414,5242,0
1999,9,8415,605528,0
1999,9,8418,165133,0
1999,9,8421,2036,0
1999,9,8422,750,0
1999,9,8450,241,0
1999,9,8508,5180,0
1999,9,8509,3760,0
1999,9,8516,341,0
1999,9,8528,828,0
1999,10,8414,22194893,1
1999,10,8415,6057604,1
1999,10,8418,16702850,1
1999,10,8421,11213171,1
1999,10,8422,5620974,1
1999,10,8450,3170646,1
1999,10,8508,2777666,1
1999,10,8509,4434479,1
1999,10,8516,5447104,1
1999,10,8528,19887810,1
1999,10,8531,1769758,1
1999,10,8414,33529,0
1999,10,8415,1133824,0
1999,10,8418,11500,0
1999,10,8421,293390,0
1999,10,8422,995,0
1999,10,8450,52613,0
1999,10,8508,10189,0
1999,10,8509,7303,0
1999,10,8516,28103,0
1999,11,8414,44559336,1
1999,11,8415,3679552,1
1999,11,8418,30213812,1
1999,11,8421,27244229,1
1999,11,8422,20701682,1
1999,11,8450,10242590,1
1999,11,8508,1779455,1
1999,11,8509,2970096,1
1999,11,8516,6457687,1
1999,11,8528,14621082,1
1999,11,8531,1350095,1
1999,11,8414,79,0
1999,11,8415,798970,0
1999,11,8418,218559,0
